car,move
M,2
B,1
S,-7
T,-1
A,-1
U,-1
F,-1
G,-3
P,1
K,1
D,5
C,-1
H,-2
G,4
E,4
F,1
A,1
B,-1
I,-2
X,-1
N,-4
L,1
Q,-2
R,-1
O,1
J,1
X,7
