car,move
O,1
D,1
A,-5
B,-2
G,-1
D,-1
l,-1
I,-1
h,2
e,-1
i,-3
H,2
F,4
E,2
R,-2
M,-1
X,-1
W,-1
Y,-1
U,4
Y,1
W,1
T,-2
O,-1
X,9
