car,move
K,-3
T,-6
S,-3
U,-2
Q,-2
L,2
M,-3
L,-2
V,-2
J,-1
R,-3
N,2
X,-2
G,-3
H,2
I,-4
C,2
D,-1
P,-4
O,1
H,1
X,3
